,env_delta,env_max,env_mean,env_std,time
0,6.48172635395,-37.594997176,-41.7550414676,1.33217052258,1.58476190476
1,3.25692270073,-40.8198008292,-43.0613665081,0.964061688732,2.31038548753
2,9.40727342523,-34.6694501047,-41.0925575505,2.25338193022,7.01242630385
3,4.44541934323,-39.6313041867,-43.8609179402,1.0621009772,7.66839002268
4,10.8171771483,-33.2595463816,-41.8225376551,2.3392788256,13.0902494331
5,9.88771286264,-34.1890106673,-41.9386022261,2.43194424701,17.3917460317
6,7.96756795235,-36.1091555776,-43.3186036372,1.65245807054,21.9022222222
7,5.34170264207,-38.7350208879,-43.9028290583,1.19483103166,25.5767800454
8,9.77194070541,-34.3047828245,-43.7474819813,1.44988560954,29.2455328798
9,6.60122334071,-37.4755001892,-43.5012420303,1.55268137135,33.1058503401
10,7.18077377064,-36.8959497593,-43.515587357,1.44352911611,36.8094331066
