,env_delta,env_max,env_mean,env_std,time
0,11.105414872,-30.052608256,-32.5766558569,1.72627746539,1.72988662132
1,7.19190250928,-33.9661206187,-36.5543973843,1.5875127734,7.81931972789
2,7.17737770885,-33.9806454191,-36.9573103402,1.6215570955,12.6780952381
3,6.72878965644,-34.4292334715,-37.234834828,1.41761727183,17.7284353741
4,7.6912748537,-33.4667482743,-37.0086337903,2.01597858712,22.9645351474
5,9.12405016232,-32.0339729656,-35.1751772922,1.44209847839,27.370521542
6,10.6325488729,-30.525474255,-33.2188810932,1.33004588759,31.8229478458
7,15.8567050014,-25.3013181266,-27.1702314139,1.18746843222,36.3450340136
8,8.81015665482,-32.3478664731,-37.7232599662,2.16556439146,41.3489342404
9,10.0472494124,-31.1107737155,-33.1405873218,1.42500029237,46.3702494331
10,4.30899944056,-36.8490236874,-38.8504958675,1.1649849981,51.2754648526
